userName,score,at,Ulasan,Sentimen Widi,Sentimen Nanda,"Sentimen Dra. UMI KOLISOH, M.Pd",Sentimen,Keterangan:
M Ihsan Malik,2,2022-02-10 22:24:00,"Koneksi internet sering hilang dan lemot bisa dari pagi sampe malem, cuman bisa internetan beberapa menit abis itu ilang lagi terus aja begitu... Masalahnya bukan saya doang yg begitu, orang dekat saya juga merasakannya",1,1,1,-1,
nuha 885,1,2022-02-10 20:46:00,"tolong dirubah lagi lah untuk penjualan masa aktif kartu,cepet banget masa tenggangnya di isi 10 /20 ribu ga nyampe sebulan masa aktif dan ada juga jualan masa aktif..saran saya buang budaya itu,saya sebagai pengguna baru cukup kaget dengan kebijakan seperti itu,saya tidak sedang membandingkan dengan provider lain..hanya saja saya ngasih saran..terimakasij",3,3,3,0,
J4n9 K1n9,3,2022-02-10 1:35:00,Aplikasi ..myxl .. Aga pelit ... Ga sepirti myim3 ... Isi ulang pulsa ... Bner2 sering dapat bonos kouta 1 gb... Smpai 6 gb... Bner2 yata,1,1,1,-1,
nia dty,1,2022-02-10 1:19:00,"kenapa setiap saya membuka myXL apk nya selalu keluar sendiri? dulu biasa"" aja dipake sekarang kok malah gini? developer tolong segera perbaiki",1,1,1,-1,
muh yaproni,5,2022-02-10 1:17:00,mudah dan cepat. terima kasih... sdh melayani saya..selama lebih dari 15 tahun. sekali lagibterimankasih XL,2,2,2,1,
Budi Handoko Sujatno,5,2022-02-10 1:16:00,"Lebih praktis & cepat untuk top up , cek kuota , pulsa dll",2,2,2,1,
ummi hani,1,2022-02-10 1:04:00,"Makin jelek aja astaga aplikasinyaa. Tiap mau dibuka loadingnya lama, dan keluar sendiri terus sblm sempet aktifkan kuota unlimitednya sampe saya hapus terus dwnload lagi apk nya tp ttp aja ngak bisa login ke menunya. PARAHHHHHHHH ðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘ŽðŸ‘Ž",1,1,1,-1,
Arman bor stros,5,2022-02-10 19:47:00,Aplikasi xl anlimited bisa untuk ambil bonus di saat kita baru isi ulang,3,3,3,0,
Hengky Y Lauw,5,2022-02-10 17:35:00,Tolong untuk di tingkat kan LG sinyal nya Krn semenjak XL di beli sm Axis sinyal Nye jd makin parah bgt.,1,1,1,-1,
Syam,1,2022-02-10 15:58:00,ga ada perubahan. masih lelet aja ni xl. tutup aja perusahaan xl. ga guna,1,1,1,-1,
Vlntino,1,2022-02-10 15:46:00,Buset dah sinyal nya tinggal di kota berasa tinggal di hutan gak ada sinyal jariangan doang ada internet nya bobrok,1,1,1,-1,
maya ayunda,5,2022-02-10 15:46:00,sekarang xl sinyalnya sudah bagus. aq pake kartu xl ini sudah lama lebih dari 10th. kartu lain boleh ganti2 tapi kartu xl ini tetap jadi kartu utamaku,2,2,2,1,
Fei Hung,1,2022-02-10 15:40:00,"saya tdk berlangganan mood musik,,main potong aja,,,",1,1,1,-1,
Eka Rusmana,1,2022-02-10 14:26:00,"chat di maya dah kaya org bego,ga prnah di respon.....apk ga jelas",1,1,1,-1,
AGUM GE PAMUNGKAS ID,1,2022-02-10 14:14:00,"Tolong klo cs live chat itu tanggepin , sinyal daerah saya akhir"" ini naik turun",1,1,1,-1,
Fahmi Rahmany,1,2022-02-10 13:57:00,"Makin kesini makin gak jelas, susah untuk komunikasi langsung dengan cust servicenya",1,1,1,-1,
Tarno Noo,2,2022-02-10 13:35:00,Toling dong teh maya bapak ibu jaringan di kampung saya makin kesini makin jelek jaringan xl. Liat youtube aja lambat jaringan jarang full paling bayak 2 - 3 tidak pernah full. Telepon seluler putus putus. Tolong di perbaiki seperti semulaa. Terima kasihh,1,1,1,-1,
Farel Hdyt,1,2022-02-10 13:25:00,"yaaa kenapa sekarang data ga bisa di timbun masa data yang kemarin masih ada 4gb pas beli lagi kuota malah hilang yang 4gb nya, ga mau rugi ya?",3,3,3,0,
Dany Permana,4,2022-02-10 13:19:00,Katany unlimetid turbo ..ketika kuota utama habis ..trus yg unlimited nya kok jadi loading trus ðŸ™ klau dlu lancar bagus skrng jadi loading trus gk lancar ..tolong perbaiki,3,3,3,0,
Kholis Y. F,1,2022-02-10 12:43:00,"XL kenapa sikayak gini sekarang, males gue jadinya, siaÂ² duit gue, kuota gue, kagak bisa ngapa ngapain, dahlah.",1,1,1,-1,
Srii Elhaff,1,2022-02-10 12:34:00,Tidak di rekomendasikan lg utk xl karena makin kesini makin burukkk.. Gak sukaa pokoknyaa.. Gak akan lagi pake xl !!!!,1,1,1,-1,
arhai aphie,3,2022-02-10 11:40:00,"Sinyal benerin bos setiap ujan aja jelek nh sinyal, padahal w di Jakarta barat. paket aja di mahalin, kualitas sama kaya yang murah",1,1,1,-1,
Krisna Pramuditya,1,2022-02-10 11:37:00,Kenapa saya melakukan pembelian paket yang sama tetapi jumlah kuota tidak bertambah malah tergantikan oleh yang baru,3,3,3,0,
Dhirga Alvaro,5,2022-02-10 11:36:00,"Sangat membantu, dan paket nya murah meriah, pas di kantong",2,2,2,1,
Johananto -,1,2022-02-10 11:13:00,Isinya 90% komentar negatif semua. Dan semua dijawab silahkan hubungi maya myxl dll. Jawabannya sama semua. Mohon maaf dan silahkan hubungi costumer service. Jadi ragu mau lanjut,3,3,3,0,
GEMING NATION206,3,2022-02-10 11:01:00,Aplikasi ini juga bisa digunakan sebagai bahan dasar pembuatan website toko online seperti pulsa & paket,2,2,2,1,
Glng Agst,4,2022-02-10 10:58:00,Coba perbaiki masa gk bisa ambil hadiah tar saya kasih bintang 5 untuk sekrang 4 dlu,3,3,3,0,
cah ndeso,1,2022-02-10 0:57:00,Mulai kumat... Nggak stabil. Untuk daerah pelosok masih belum ada jaringam yg bagus.,1,1,1,-1,
Zainul Muttaqin,1,2022-02-10 0:26:00,"Jaringannya hancur banget terutama jaringan internet, apalagi untuk daerah pedesaan padahal daerah pedesaan rataÂ² pakai XL tapi jaringannya tidak pernah di perhatikan. Tower dekat tapi jaringan buruk.",1,1,1,-1,
rini handayani,4,2022-02-10 0:15:00,"tolong promo kuotanya lebih di banyakin, kalau terlalu mahal bisa ganti perdana lain, terimakasih",3,3,3,0,
Wulan Sadun,5,2022-02-10 0:08:00,lebih gampang milih paketnya. keterangannya juga jelas banget. mantap deh,2,2,2,1,
Anggara Sahputra,1,2022-02-09 8:16:00,"My XL masih belum bisa digunakan, udah beberapa kali bilang ke Maya, bilangnya suruh di uninstall lalu coba download lagi hapus data , udah di lakuin semua bahkan sampe beberapa kali , masih tetap gak bisa padahal saya pengguna lama, Karna saya ganti hp, saya download di hp baru malahan kga bisa , dan gak ngebantu juga si Maya. Terpaksa ganti kartu , KECEWA AKU !!!",1,1,1,-1,
Iis S,5,2022-02-09 8:07:00,Bgs!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Eh tapi boong ðŸ˜‚ðŸ˜‚,3,3,3,0,
Hadi Maryadi,5,2022-02-09 7:49:00,dari dulu sejak sekolah SMA selalu pakai XL . tolong ya kak jaringan XL di stabilkan lagi . sukses slalu XL axiata!!!!,2,2,2,1,
M Khairul Nizam,1,2022-02-10 19:08:38,Saya mau melakukan pembelian paket tapi kenapa tidak bisa herannn terjadi kesalahan maksudnya apa makin lama xl makin ngk jelas,1,1,1,-1,
Budiarto Gultom,1,2022-02-09 6:58:00,Kartu xl makin lama sinyal nya makin kayak sampah mau di mana aja di bawa pasti sama aja sinyal nya hilang hilang kecewa berat pakai kartu ini maaf buat provider xl saya gak mau pakai kartu anda lagi merasa rugi,1,1,1,-1,
Rahmat Nur Fitri Ruhiyat,4,2022-02-09 5:49:00,"Aplikasi berjalan dengan baik, cuman lebih di tingkatkan kualitas app nya, jgn kalau log in atau memulai transaksi malah mengalami gangguan.",2,2,2,1,
Kadhafi hayz,3,2022-02-09 5:14:00,"Heran saya ... awalnya signal XL baik2 saja walau kadang naik turun , 2 hari ini kenapa susah sekali yaa signal XL sampe gak ada signal yang muncul di layar hape ...",3,3,3,0,
yudistera,4,2022-02-09 5:10:00,"alhamdulilah pelayanan mulai membaik, sekarang sudah bisa transaksi pembelian di aplikasi myXL. terus tingkatkan pelayanan.",2,2,2,1,
asep ogell,2,2022-02-09 4:46:00,Tolong apk nya di perbaiki kembali. Dikarnakan sering lag saat melakukan transaksi maupun pengecekan data. Semoga segera di perbaiki agar pengguna yang lain puas.,3,3,3,0,
I Wayan Suarsana,5,2022-02-09 4:30:00,Terimakasih admin. Aplikasi ini sangat membantu saya sebagai pelanggan Kartu XL.,2,2,2,1,
Mhd Toha,5,2022-02-09 23:36:00,Terima ksih xl telah memberikan promo2 yg sangat mantap...semoga kedepannya xl terus memberikan promo kepada pelanggannya,2,2,2,1,
Boy Saleh,1,2022-02-09 23:25:00,"Hp diam sendirian, gak disentuh ber jam jam, tau tau muncul : Anda sedang menikmati internet dengan tarif normal Rp1rb/MB. Mau YOUTUBE tanpa kuota? Pilih Pkt XTRA Combo di *123# Padahal data dan juga wifi tidak ada yang aktif, Pulsa jadi berkurang sendiri. Itu namanya pencurian pulsa, coba dikali berapa banyak pelanggan, perusahaan besar begitu, kok berkelakuan kotor",1,1,1,-1,
pangeran jalanan,1,2022-02-09 1:56:00,"Paket youtube 1 hari unlimited baru diaktifin semalem puku 24.00 ,pagi udah abis ,gila xl males guw make xl lagi pembohong,buang xl anjrittt",1,1,1,-1,
kitty hariani-02,4,2022-02-09 1:12:00,Sinyal tolong di perbaiki lagi ya...kemaren saya kesel bnget sinyal gc ada,1,1,1,-1,
Calvine pratama,5,2022-02-09 19:30:00,"Makin baik aja nih aplikasinya. Banyak fitur dan benefitnya sekarang. Mulai dari lock pulsa, dan bonus2 yg lain. Sukes terus MyXL",2,2,2,1,
Arul Hendra,5,2022-02-09 19:24:00,Saya kasih bintang 5 bukan karna maya..karna jaringannya XL bagi saya pribadi sangatlah membatu. Pertahankan kualitas jaringan internetnya ok..,2,2,2,1,
yudisa .a,1,2022-02-09 19:14:00,"Mau bilang jelek bingung mau bilang bagus agak tidak layak, buat sosmed lancar tapi buar ngegame langsung lag sinyal ilang terus",1,1,1,-1,
gusti dwitama,1,2022-02-09 17:47:00,Bisa gak perbaiki jaringan nya ? Makin hari makin parah aja niih jaringan .. Kuota banyak tapi ga bisa buat apa2 .. Lelet amat nih jaringan,1,1,1,-1,
Adham Mardin,3,2022-02-09 17:26:00,Kenapa saya tidak pernah dapat diskon kuota dari xl padahal teman saya selalu dapat.saya juga rutin beli paket,3,3,3,0,
Achmad Riefai,1,2022-02-09 15:18:00,"Semenjak ganti pascabayar kok malah jadi lemot yaa?, sebelum nya lancar lancar aja.",1,1,1,-1,
Sh Kurniasih,2,2022-02-09 15:17:00,"Ampun deh baru kali ini isi paket akrab baru 8 hari udh mau hbs.. pdhl bulanÂ² sebelumnya bisa sampe 30har,, kenapa ya perasaan kok skrg cepet bgt habis kuotanya pdhl aplikasi yg di gunakan juga hampir sama setiap blnnya & masih di bilang normal sedih deh tgl segini udh harus isi booster lagi, pdhl seborosÂ²nya pemakaian aplikasi di hari ke 20 atau 25 baru booster lagi ðŸ¥ºðŸ¥ºðŸ¥º Jadi mikir lagi kalo terusÂ²an ky gini ðŸ˜¥",1,1,1,-1,
aziznasir sodikin124,5,2022-02-09 14:10:00,"sangat membantu, yg terpenting terus tingkatkan perfom nya itu aja yg ingin gw bilang, terimakasih.",2,2,2,1,
Muhammad Hilmii H,1,2022-02-09 14:00:00,"Masa aku gak ngeaktipin data tapi pulsaku 20 ribu habis sendiri, padahal aku pakai wifi loh.",1,1,1,-1,
Dino Thunder,2,2022-02-09 13:45:00,tolong diperbaiki lgi jaringan dan aplikasinya kadang suka error pada saat buka apknya itu saja,3,3,3,0,
Yusuf M Ikhsan,5,2022-02-09 13:31:00,Lah gw pake xl sinyal aman aman aja kaga ada lag lagan Malahan enakan xl daripada si telkom Gw lokasi di kampung tapi sinyal joss mantep,2,2,2,1,
Nuri Febriantika,3,2022-02-09 13:06:00,"sinyal bagus tapi gak bisa buka sosmed, padahal dekat sama tower loh, mau buka my xl aja gak bisa",3,3,3,0,
Ono Darsono,2,2022-02-09 12:24:00,"Sinyal makin lemah,internet lambat padahal paket combo VIP/combo reguler sama saja lemotnya. Tlng tingkatkan lagi jaringan inet nya, 4G serasa 2G/ Edge, parah deh. Update: Untuk saat ini Diluar ruangan cukup bagus tapiiii...didalam ruangan, dirumah,di kantor, lemot banget speed internet nya. Tolong perkuat dong jangkauan sinyal inet nya.Trims... Update: di indoor makin parah sinyal inet nya, makin lemot, apalagi musim hujan begini signal very down....Hhhhrrrggghh bikin emozi aja.",1,1,1,-1,
Dimas Nugroho,4,2022-02-09 12:14:00,Saya reload tiap beberapa detik kemudian harga paketnya suka berubah berubah.,3,3,3,0,
Ifan Jr,1,2022-02-09 12:10:00,"PROVIDER KERAJAAN'NYA HANYA MOLOR !!! JARINGAN SEMAKIN HARI SEMAKIN BUSUK !!! CUSTOMER TIDAK DI PRIORITASKAN !!! KLO TIDAK ADA KAMI KALIAN MAU MAKAN APA !!! BEKERJALAH SEBAIKÂ²NYA , JANGAN HANYA CUAN !!!",1,1,1,-1,
Keynaren fazly mawla,5,2022-02-09 11:45:00,XL Napa si kalo mau beli paket combo mini Eror Mulu kaga jelas banget padahal masi ada sisa paketan buat isi kuota nya najiss,1,1,1,-1,
Ruci Trisandry Kirana,1,2022-02-09 11:44:00,"Sinyal jelek, layanan aplikasi xl tidak memuaskan, pemberitahuan kuota habis selalu menguras pulsa yg ada dulu baru notofication keluar",1,1,1,-1,
Rika Libra,5,2022-02-09 11:37:00,Saya pakai XL hampir 5 tahun Pakai aplikasi my XL udah 3tahunan Sabar saya sabar kalo tiba-tiba aplikasi myxl keluar sendiri pas daftar paket Sabar saya benar-benar sabar Tapi tolong diperbaiki biar tidak terus seperti ini Saya setia pake XL jadi mohon diperbaiki,3,3,3,0,
Sony Anggara,1,2022-02-09 11:26:00,"Lagi serba online pak, mau ngisi kuota, kenapa gabisa sih ????! Status mas perbaikan nya sampai kapan ???!",1,1,1,-1,
ULUM MOBA GAMING,5,2022-02-09 11:15:00,Pembaruan sampai jam berapa ini kak rabu 09 februari 2022 jam 18.15 sampai jam berapa??,3,3,3,0,
rizki istiqomah,4,2022-02-09 11:13:00,Kemaren promo 60gb 60rb lumayan sih sebulan ga abis malah kebuang . Saran kalo kuota banyak masa aktif kuotanya di tambahin kak.. Atau bikin menu tambah masa aktif kuota biar ga buang2 kuota.. Kemaren dapet promo lg 70gb 75rb .. Alhamdulillah promo ga pernah mengecewakan ðŸ˜,2,2,2,1,
ucchy khazus,1,2022-02-09 11:12:00,"Mohon maaf sebelumbya, Kenapa pas saya masukkan kode voucer 13 GB, terus ada notifikasi masuk dan di teruskan untuk scan voucer, setelah sya download alpikasi myxl, terus sya scan ternyata tdk ada apa2, malahan sya rugi karna voucer yg saya beli, itu ternyata tdk ada apa apa,. dan setiap login di myxl, biar menggunakan hostpot/Wifi tetapi keterangan cek koneksi internet,. Maksudnya apa ini bosss,. Sudah beli kuota mahal2 tetapi tidak bisa di gunakan Jadi kedapannya harus di perbaiki lagi,.",1,1,1,-1,
Sai 93,1,2022-02-09 11:12:00,Kenapa sih setiap buka nya eror. Gonta ganti jaringan sama aja. Kaya aplikasi ukuran 10GB aja. Lemot,1,1,1,-1,
Ahmad Ropi,1,2022-02-09 11:04:00,"Buka YouTube bisa wa lancar masuk ke myxl tidak ada koneksi,, XL sehat ??",1,1,1,-1,
agunk bakar,1,2022-02-09 10:58:00,"Hari hari kalau mau beli paket lagi masuk my xl susahnya minta ampun, udah pake versi paling baru padahal, ini maaf klo saya bandingkan dengan my telkomsel dan indosat jauh bgt. Kedua aplikasi itu on point ga pernah kaya my xl sering kali aku kesulitam login. Tolong lah di fix pak. Mohon maaf sebelumnya, saya tidak bermaksud apapun, cuma menyampaikan apa yg saya kesalkan, saya juga pengguna xl sejak lama.... Karna dari dulu di daerah saya paling enak xl doang.",1,1,1,-1,
Black Owl,3,2022-02-09 10:49:00,"Sering gak bs masuk..koneksi internet lah gak konek,padahal konek dan ada data ya..terus lama masuk ke aplikasinya juga..tolong di perbaiki..makasih",1,1,1,-1,
AnantaDW,1,2022-02-09 10:46:00,"Sinyal makin hari makin lemottt, ini apk buat apa sih? Kenapa pas mau dipake malah gagal memuat data terus? Astagaaaa",1,1,1,-1,
BLACK DRAGON,5,2022-02-09 10:37:00,"Lebih baik dari yg dulu,terima kasih untuk myxl yg bisa mempermudah cek kuota,pulsa dan kalau bisa lebih bnyk gratisan sih ðŸ‘",2,2,2,1,
Jandres Mautang,5,2022-02-09 10:10:00,"paketnya ekonomis, sesuai dgn saat ini dan di tempat dimana kami tinggal jaringannya oke",2,2,2,1,
Huang Toto,1,2022-02-09 10:06:00,"Buruk banget Xl,buat tlp aja.blm bicara uda mati,internet jg begitu....bgm nih???BUAT APA BAYAR BULANAN.KALAU HASIL NYA SANGAT BURUK....SEKALI",1,1,1,-1,
Doni Ristiawan,1,2022-02-08 9:35:00,"Woooooyy aplikasi ini knapa si, slalu keluar aplikasi sendiri, tiap log-in eror terus gk bisa masuk ke pelayanannya, tolong di perbaiki kesalahannya dan klau tidak bisa di perbaiki gk usah di tampilkan di playstore, hapus aja aplikasi ini.",1,1,1,-1,
Bagus Sukar manto,5,2022-02-08 9:29:00,"lanjutkan,jgn ada pengurangan kuota swadaya dan harga KL bs lbh murah lg",2,2,2,1,
Sidik Waskito,5,2022-02-08 8:00:00,bangun tower di pelosok2 negeri biar komunikasi semakin lancar pertahankan harga dan layanan,2,2,2,1,
jahra aulia fattiha,5,2022-02-08 7:19:00,"Aplikasinya memuaskan walapun saya ambil gratisan nya pulsa saya kepotong dan habis , my xl the best deh pokoknyaðŸ¤—ðŸ¤—ðŸ˜‡ðŸ˜‡",2,2,2,1,
Xomar Tea,5,2022-02-08 6:39:00,ðŸ‘..... kalau bisa masa aktif kartunya di tingkatkan jadi lebih lama. terima kasih,2,2,2,1,
Arsyal Danu Firmansyah,5,2022-02-08 6:14:00,Aplikasi ini sangat bagusðŸ™‚Memberikan kuota dengan harga yg murah jadi saya bisa membeli nyaðŸ™‚Karna saya masih kelas 8 SMP jadi belom bisa cari duit sendiriðŸ˜€Terima kasih myXL karna telah memberi pelayanan terbaik untuk penggunanya ðŸ™‚ðŸ™ðŸ»,2,2,2,1,
irapurnomo sasi,5,2022-02-08 5:44:00,"mantap xl, pertahakan performa bonusanya trus, agar pengguna xl semakin betah, dan yang belum bisa beralih",2,2,2,1,
Abdul Majid,1,2022-02-08 5:33:00,"Jaringannya skrg butut, lancar2 pas jam 11 malam ampe jam 6 pagi doang. Pindah ke yg lain aja apa gmn ini hmm...",1,1,1,-1,
Joseph Khorniawan,4,2022-02-08 23:28:00,selanjutnya jangan seperti kemarenÂ² 2minggu sekali di update mau isi ulang data harus di update dulu keseringan di update juga malas untuk membuka apl ini .,3,3,3,0,
Muhammad Reyhan,4,2022-02-08 21:31:00,"XL sekarang jaringan nya aga lemot gitu, kuota nya masih banyak tp suka loading terus, knpa ya??",1,1,1,-1,
Mi 5aselole,1,2022-02-08 1:58:00,"Percuma Paket Banyak Gak Bisa Dipakai,Makan Hati,Kesal,Buang2 Uang Saja,Mending Dipakai Sedekah Sekalian. Selalu Gangguan,lelet,lemot. Utk yg lain Semoga Jgn jd korban PHP XL. Iklan,Promo hanya BACOT.....!!!!",1,1,1,-1,
INOJO148,1,2022-02-08 1:51:00,"XL, gimana nih, saya sudah masukkan 16 digit angka di aplikasi untuk isi ulang, tapi tidak masuk, nyesel punya internet kayak gini!",1,1,1,-1,
andri black,5,2022-02-08 1:42:00,"Xl axiata memang mantap... Salah satu layanan terbaik,pulsa tidak berkurang walau kuota internet habis Terimakasih XL Terus berikan layanan terbaik mu",2,2,2,1,
SETYO PANJI PRATAMA X TKJ,1,2022-02-08 1:30:00,Xl binatang!!! Masa sinyal pasti ganti h+ trus hilang mulu gimana mau main binatang!!! Provider gagal! Nyusahin orang aja mending tutup aja ngeselin sumpah binatang ini!,1,1,1,-1,
JacK _85,5,2022-02-08 1:21:00,mantap harganya.kalau bisa tolong lah di tingkatkan lagi.karna XL kekuatan sinyalnya lemah betul. Kalah dengan telkomsel & M3,2,2,2,1,
Andy Nazry,5,2022-02-08 19:22:00,Aku ngeluh di jaringan internet masih low di daerah saya malah kadang hilang.harga paketnya murah Semoga kedepannya jaringan 4G merata smpai pelosok biar bisa saingin tuh... Provaider sebelah yg harga paketnya selangit.,3,3,3,0,
johny halim,1,2022-02-08 18:05:00,Xl prioritas jangan asyik sms ini itu ini itu suruh beli kuota ini itu ini itu....internet kalian macem kaleng kaleng kapan diperbaiki..udah berapa lama kalian beroperasi sama kalah ama layanan lain contoh first media..,1,1,1,-1,
GM MECHANIC,1,2022-02-08 16:56:00,Jaringan XL di Denpasar dan Nusa penida ancur udah hampir 6 bulan ini gada perubahan kayak kehabisan kuota! Mengecewakan! Tolong dong bagi pihak yang berwenang kunjungi dan di perbaiki.. keburu pada ganti ke Telkomsel tuhh..,1,1,1,-1,
AULIA NAZZHURO,3,2022-02-08 15:50:00,"Selamat malam Min, Saya sudah beli paket combo plus 59rb 14gb 30 hari. Gimana caranya ya ngambil bonus kuota yuo tube 2gb Padahal sms notifikasi masuk mohon pencerahannya terima kasih.",3,3,3,0,
